"Internal Reference","Name","Description","Barcode","Product Category/ID","Point of Sale Category/ID","Product Type","Cost","Sales Price","Available in POS","Can be Purchased","Can be Sold"
"39045904","Bolt","Bolt","39045904","point_of_sale.00034","pos_category.3w","Storable Product","25.0","25.0","True","True","True"
"39009604","Bolt","Bolt","39009604","point_of_sale.00034","pos_category.3w","Storable Product","10.0","10.0","True","True","True"
"39008904","Bolt","Bolt","39008904","point_of_sale.00034","pos_category.3w","Storable Product","50.0","50.0","True","True","True"
"39008704","Bolt","Bolt","39008704","point_of_sale.00034","pos_category.3w","Storable Product","2.0","2.0","True","True","True"
"22150435","Bolt","Bolt","22150435","point_of_sale.00034","pos_category.3w","Storable Product","20.0","20.0","True","True","True"
"30141032","Bolt","Bolt","30141032","point_of_sale.00034","pos_category.2w","Storable Product","25.0","25.0","True","True","True"
"39077504","Bolt","Bolt","39077504","point_of_sale.00034","pos_category.3w","Storable Product","30.0","30.0","True","True","True"
"30101086","Bolt","Bolt","30101086","point_of_sale.00034","pos_category.2w","Storable Product","10.0","10.0","True","True","True"
"59040003","Bolt","Bolt","59040003","point_of_sale.00034","pos_category.2w","Storable Product","90.0","90.0","True","True","True"
"DD101062","Bolt","Bolt","DD101062","point_of_sale.00034","pos_category.2w","Storable Product","50.0","50.0","True","True","True"
"DG101187","Bolt","Bolt","DG101187","point_of_sale.00034","pos_category.2w","Storable Product","250.0","250.0","True","True","True"
"DI3W027","Bolt","Bolt","DI3W027","point_of_sale.00421","pos_category.3w","Storable Product","63.0","63.0","True","True","True"
"DI3W025","Bolt","Bolt","DI3W025","point_of_sale.00421","pos_category.3w","Storable Product","44.0","44.0","True","True","True"
"39006304","Bolt","Bolt","39006304","point_of_sale.00034","pos_category.3w","Storable Product","45.0","45.0","True","True","True"
"39006704","Bolt","Bolt","39006704","point_of_sale.00034","pos_category.3w","Storable Product","10.0","10.0","True","True","True"
"39008004","Bolt","Bolt","39008004","point_of_sale.00034","pos_category.3w","Storable Product","60.0","60.0","True","True","True"
"39008504","Bolt","Bolt","39008504","point_of_sale.00034","pos_category.3w","Storable Product","10.0","10.0","True","True","True"
"JG181255","Bolt ","Bolt ","JG181255","point_of_sale.00375","pos_category.2w","Storable Product","40.0","40.0","True","True","True"
"DF161426","Bolt   Stepped With Flange","Bolt   Stepped With Flange","DF161426","point_of_sale.00034","pos_category.2w","Storable Product","25.0","25.0","True","True","True"
"JL231206","Bolt  -Special M10","Bolt  -Special M10","JL231206","point_of_sale.00034","pos_category.2w","Storable Product","100.0","100.0","True","True","True"
"LAD00080","Bolt  Flanged","Bolt  Flanged","LAD00080","point_of_sale.00034","pos_category.2w","Storable Product","15.0","15.0","True","True","True"
"52JA0029","Bolt (Ja541014) Precoated","Bolt (Ja541014) Precoated","52JA0029","point_of_sale.00034","pos_category.2w","Storable Product","80.0","80.0","True","True","True"
"39106804","Bolt (M10*1.25*14*113)","Bolt (M10*1.25*14*113)","39106804","point_of_sale.00034","pos_category.3w","Storable Product","75.0","75.0","True","True","True"
"39105604","Bolt (M10*1.25*14*82)","Bolt (M10*1.25*14*82)","39105604","point_of_sale.00034","pos_category.3w","Storable Product","105.0","105.0","True","True","True"
"DK101610","Bolt (M5) (Ss 304)","Bolt (M5) (Ss 304)","DK101610","point_of_sale.00034","pos_category.2w","Storable Product","40.0","40.0","True","True","True"
"DP101143","Bolt (M6 X Length = 60)","Bolt (M6 X Length = 60)","DP101143","point_of_sale.00034","pos_category.2w","Storable Product","25.0","25.0","True","True","True"
"39106301","Bolt (M6*1*10*23)","Bolt (M6*1*10*23)","39106301","point_of_sale.00034","pos_category.3w","Storable Product","25.0","25.0","True","True","True"
"39102304","Bolt (M8*1.25*10*22)","Bolt (M8*1.25*10*22)","39102304","point_of_sale.00034","pos_category.2w","Storable Product","120.0","120.0","True","True","True"
"DP151028","Bolt (Square)","Bolt (Square)","DP151028","point_of_sale.00034","pos_category.2w","Storable Product","90.0","90.0","True","True","True"
"DJ191025","Bolt - Banjo [ Ets ]","Bolt - Banjo [ Ets ]","DJ191025","point_of_sale.00034","pos_category.2w","Storable Product","140.0","140.0","True","True","True"
"DE191011","Bolt - Banjo [ Kbx ]","Bolt - Banjo [ Kbx ]","DE191011","point_of_sale.00034","pos_category.2w","Storable Product","125.0","125.0","True","True","True"
"DJ191028","Bolt - Clamp Holder [ Ets ]","Bolt - Clamp Holder [ Ets ]","DJ191028","point_of_sale.00034","pos_category.2w","Storable Product","35.0","35.0","True","True","True"
"DJ151048","Bolt - D For Coupling Assembly","Bolt - D For Coupling Assembly","DJ151048","point_of_sale.00034","pos_category.2w","Storable Product","60.0","60.0","True","True","True"
"39203804","Bolt - Disc Plate","Bolt - Disc Plate","39203804","point_of_sale.00034","pos_category.3w","Storable Product","30.0","30.0","True","True","True"
"39273104","Bolt - Flange :- M8 X 1.25","Bolt - Flange :- M8 X 1.25","39273104","point_of_sale.00034","pos_category.2w","Storable Product","80.0","80.0","True","True","True"
"DH151039","Bolt - Flange :- Pre-Coated (M8 X 30) -B","Bolt - Flange :- Pre-Coated (M8 X 30) -B","DH151039","point_of_sale.00034","pos_category.2w","Storable Product","70.0","70.0","True","True","True"
"39194204","Bolt - Flanged","Bolt - Flanged","39194204","point_of_sale.00034","pos_category.2w","Storable Product","20.0","20.0","True","True","True"
"39194404","Bolt - Flanged","Bolt - Flanged","39194404","point_of_sale.00034","pos_category.2w","Storable Product","20.0","20.0","True","True","True"
"39191204","Bolt - Flanged","Bolt - Flanged","39191204","point_of_sale.00034","pos_category.2w","Storable Product","20.0","20.0","True","True","True"
"39270204","Bolt - Flanged :- M10","Bolt - Flanged :- M10","39270204","point_of_sale.00034","pos_category.2w","Storable Product","140.0","140.0","True","True","True"
"39267104","Bolt - Flanged :- M8","Bolt - Flanged :- M8","39267104","point_of_sale.00034","pos_category.2w","Storable Product","50.0","50.0","True","True","True"
"DH101390","Bolt - Flanged :- Precoated (M8 X 82) -","Bolt - Flanged :- Precoated (M8 X 82) -","DH101390","point_of_sale.00034","pos_category.2w","Storable Product","80.0","80.0","True","True","True"
"39196104","Bolt - Flanged :- Small","Bolt - Flanged :- Small","39196104","point_of_sale.00034","pos_category.2w","Storable Product","25.0","25.0","True","True","True"
"DS181075","Bolt - Fork","Bolt - Fork","DS181075","point_of_sale.00034","pos_category.2w","Storable Product","430.0","430.0","True","True","True"
"DS181012","Bolt - Fork","Bolt - Fork","DS181012","point_of_sale.00034","pos_category.2w","Storable Product","580.0","580.0","True","True","True"
"DJ191029","Bolt - Front Brake Lever [ Ets ]","Bolt - Front Brake Lever [ Ets ]","DJ191029","point_of_sale.00034","pos_category.2w","Storable Product","110.0","110.0","True","True","True"
"DE191031","Bolt - Front Brake Lever [ Kbx ]","Bolt - Front Brake Lever [ Kbx ]","DE191031","point_of_sale.00034","pos_category.2w","Storable Product","120.0","120.0","True","True","True"
"DS101104","Bolt - Gear Shift Drum Stopper","Bolt - Gear Shift Drum Stopper","DS101104","point_of_sale.00034","pos_category.2w","Storable Product","105.0","105.0","True","True","True"
"39275404","Bolt - Hex. Head With Flange :- M5","Bolt - Hex. Head With Flange :- M5","39275404","point_of_sale.00034","pos_category.2w","Storable Product","10.0","10.0","True","True","True"
"39231704","Bolt - Hexagon Head :- M6","Bolt - Hexagon Head :- M6","39231704","point_of_sale.00034","pos_category.3w","Storable Product","15.0","15.0","True","True","True"
"39254404","Bolt - Hexagon Head With Flange - M6","Bolt - Hexagon Head With Flange - M6","39254404","point_of_sale.00034","pos_category.2w","Storable Product","50.0","50.0","True","True","True"
"39247604","Bolt - Hexagon Head With Flange :- M6","Bolt - Hexagon Head With Flange :- M6","39247604","point_of_sale.00034","pos_category.2w","Storable Product","20.0","20.0","True","True","True"
