"Order Ref","Order Lines/Product/Internal Reference","Order Lines/Quantity"
"","39132420","1.0"
"","KPBC6004","1.0"
"","03100335","1.0"
"","39252820","1.0"
"","19101018","1.0"
"","28101110","1.0"
"Shop/0194","AA111091","1.0"
"Main/0035","DD101407","1.0"
"Main/0034","DJ181110","1.0"
"Shop/0193","36JA0005","1.0"
"Main/0033","AA191115","1.0"
"Shop/0192","31151060","1.0"
"Main/0032","DH101373","2.0"
"Shop/0191","DU181032","1.0"
"Shop/0190","36DD4006","1.0"
"Shop/0189","AA191094","1.0"
"","AA191093","1.0"
"Shop/0188","JZ511203","1.0"
"","39201719","4.0"
"","CB101114","10.0"
"Shop/0187","39100820","1.0"
"Main/0031","36DS1004","1.0"
"","DH101195","1.0"
"","DH101520","1.0"
"Shop/0186","DH101154","1.0"
"Shop/0185","AA111122","1.0"
"Shop/0184","JN351604","1.0"
"Main/0030","DD121181","5.0"
"","AN101181","1.0"
"","JD511010","3.0"
"Shop/0183","36314001K","1.0"
"Main/0029","DK151085","1.0"
"Shop/0182","DU181031","1.0"
"","CL201023","1.0"
"Shop/0181","JN122000","2.0"
"Main/0028","36DS1004","1.0"
"","36DH4041","1.0"
"","DH101557","3.0"
"","DH101033","1.0"
"","36DS1002","1.0"
"","39201719","2.0"
"","DS101072","1.0"
"","DS101036","1.0"
"","DJ101004","1.0"
"","JN521001","1.0"
"Shop/0180","36AN0010","1.0"
"","AA201185","1.0"
"","AN101149","1.0"
"","AN101135","1.0"
"","AA111153","2.0"
"Shop/0179","AA201041","1.0"
"Main/0027","DD111018","1.0"
"Main/0026","DG141019","2.0"
"Shop/0178","AL201051","1.0"
"","BG113802","1.0"
"Shop/0177","AA111091","1.0"
"Shop/0176","36DU1205","1.0"
"Shop/0175","36JN0007","1.0"
"","JL561409","1.0"
"Main/0025","AE101014","1.0"
"Shop/0174","24151275","1.0"
"Shop/0173","39103519","2.0"
"Shop/0172","AB151074","1.0"
"Main/0024","39240320","1.0"
"","DM101140","1.0"
"","24141184","1.0"
"Shop/0171","30151105","1.0"
"","DU191030","1.0"
"Shop/0170","BA191051","2.0"
"Shop/0169","AA101446KA","1.0"
"Shop/0168","01100315","1.0"
"","01100404","1.0"
"","01100610","1.0"
"","01100714","1.0"
"","01100719","1.0"
