ID,Internal Reference,Point of Sale Category,Sales Price,Cost,Updated Sales Price,Updated Cost
point_of_sale.JU511225,JU511225,Bajaj / 2W,970.0,970.0,,
point_of_sale.AA221006,AA221006,Bajaj / 3W,970.0,970.0,,
point_of_sale.DU101058,DU101058,Bajaj / 2W,970.0,970.0,,
point_of_sale.DU191022,DU191022,Bajaj / 2W,970.0,970.0,,
point_of_sale.JA161201,JA161201,Bajaj / 2W,970.0,970.0,,
point_of_sale.36PA0193,36PA0193,Bajaj / 2W,970.0,970.0,,
point_of_sale.22100703,22100703,Bajaj / 3W,970.0,970.0,,
point_of_sale.AF101035,AF101035,Bajaj / 3W,970.0,970.0,,
point_of_sale.JB73092V,JB73092V,Bajaj / 2W,965.0,965.0,,
point_of_sale.24165137,24165137,Bajaj / 3W,965.0,965.0,,
point_of_sale.29171018,29171018,Bajaj / 2W,965.0,965.0,,
point_of_sale.DF201045,DF201045,Bajaj / 2W,965.0,965.0,,
point_of_sale.AF201035,AF201035,Bajaj / 3W,960.0,960.0,,
point_of_sale.24165309,24165309,Bajaj / 3W,960.0,960.0,,
point_of_sale.36JC0013,36JC0013,Bajaj / 2W,960.0,960.0,,
point_of_sale.PA74035V,PA74035V,Bajaj / 2W,960.0,960.0,,
point_of_sale.BF581087,BF581087,Bajaj / QUTE,960.0,960.0,,
point_of_sale.39145020,39145020,Bajaj / 3W,960.0,960.0,,
point_of_sale.JP181219,JP181219,Bajaj / 2W,960.0,960.0,,
point_of_sale.DJ201252,DJ201252,Bajaj / 2W,960.0,960.0,,
point_of_sale.AP201120,AP201120,Bajaj / 3W,960.0,960.0,,
point_of_sale.KPAC6005,KPAC6005,Bajaj / 2W,960.0,960.0,,
point_of_sale.52JY0822,52JY0822,Bajaj / 2W,960.0,960.0,,
point_of_sale.JP181218,JP181218,Bajaj / 2W,960.0,960.0,,
point_of_sale.JG113203,JG113203,Bajaj / 2W,960.0,960.0,,
point_of_sale.BF351803,BF351803,Bajaj / QUTE,960.0,960.0,,
point_of_sale.DT601226,DT601226,Bajaj / 2W,960.0,960.0,,
point_of_sale.DJ121056,DJ121056,Bajaj / 2W,960.0,960.0,,
point_of_sale.DU101279,DU101279,Bajaj / 2W,960.0,960.0,,
point_of_sale.DG201071,DG201071,Bajaj / 2W,960.0,960.0,,
point_of_sale.JW231401,JW231401,Bajaj / 2W,960.0,960.0,,
point_of_sale.36JY0183,36JY0183,Bajaj / 2W,960.0,960.0,,
point_of_sale.DH161231,DH161231,Bajaj / 2W,960.0,960.0,,
point_of_sale.DU201052,DU201052,Bajaj / 2W,960.0,960.0,,
point_of_sale.DH111113,DH111113,Bajaj / 2W,960.0,960.0,,
point_of_sale.JD401025,JD401025,Bajaj / 2W,960.0,960.0,,
point_of_sale.06150101,06150101,Bajaj / 2W,955.0,955.0,,
point_of_sale.JL76015M,JL76015M,Bajaj / 2W,955.0,955.0,,
point_of_sale.JZ401037,JZ401037,Bajaj / 2W,955.0,955.0,,
point_of_sale.JL76025M,JL76025M,Bajaj / 2W,955.0,955.0,,
point_of_sale.DU161286,DU161286,Bajaj / 2W,950.0,950.0,,
point_of_sale.DH201093,DH201093,Bajaj / 2W,950.0,950.0,,
point_of_sale.DU161292,DU161292,Bajaj / 2W,950.0,950.0,,
point_of_sale.JP231211,JP231211,Bajaj / 2W,950.0,950.0,,
point_of_sale.DI2W022,DI2W022,Bajaj / 2W,950.0,950.0,,
