දිනය,ගෙවීම් ක්‍රමය,බිල්පත් අංකය,පාරිභෝගිකයා ,රිටන් බිල්පත් අංකය,Order/Order Lines/Product,Order/Order Lines/Quantity,Order/Order Lines/Discount (%),Order/Order Lines/Subtotal w/o Tax,මුදල්
2021-09-18 11:31:39,මුදල්,Order 00430-001-0037,FALSE,,[JN401600] Dc Horn Lh With Stay,1,15,1955,1960
2021-09-18 11:31:04,මුදල්,Order 00430-001-0036,FALSE,,[30101142] Oil Seal [ Kick ],1,15,93.5,2180
,,,,,[39171519] Oil Seal [ Magento ],1,0,90,
,,,,,[39219019] Oil Seal [ Gear Shaft Inner ],1,15,119,
,,,,,[JD511010] Gasket Head Cover,1,15,561,
,,,,,[JD521002] Gasket Cylinder Block,1,15,221,
,,,,,[JD511008] Gasket Cylinder Head,1,15,697,
,,,,,[JA541205] Gasket Magneto Cover,1,15,238,
,,,,,[CB101114] Gasket Exhaust Pipe,1,15,119,
,,,,,[CS101128] Gasket,1,0,40,
2021-09-18 11:25:08,මුදල්,Order 00430-001-0035,Mahinda Motors,,[JZ351206] Cdi  Disco-125,1,0,5400,5400
2021-09-18 11:20:39,මුදල්,Order 00430-001-0008,FALSE,,[36DU4026] Kit Connecting Rod Ct100,1,17,3137.4,19510
,,,,,[36JZ0074] Kit Block & Piston-D125 Mx,1,17,10167.5,
,,,,,[DU101218KA] Cylinder Block Piston Kit,1,17,6200.1,
2021-09-18 11:18:52,මුදල්,Order 00430-001-0034,FALSE,,[790920121274] ABRO 999 Gasket Marker - Grey,1,0,480,480
2021-09-18 11:18:05,මුදල්,Order 00430-001-0033,FALSE,,[DH101110] Gear 4Th Driven,1,12,2340.8,2340
2021-09-18 11:11:27,මුදල්,Order 00430-001-0032,FALSE,,[JL181008] Windshield Assembly,1,13,1104.9,1100
2021-09-18 11:10:45,මුදල්,Order 00430-001-0031,FALSE,,[52240483] Bumper Assly (24231063)- Primer Coated,1,18,1697.4,1700
2021-09-18 11:05:59,මුදල්,Order 00430-001-0029,FALSE,,[SVA0013] Side Mirror Set (Aa221005),1,0,200,200
