External ID,Internal Reference,Quantity On Hand
point_of_sale.24111067,24111067,-1.0
point_of_sale.24111080,24111080,0.0
point_of_sale.24111087,24111087,0.0
point_of_sale.24111095,24111095,0.0
point_of_sale.24111098,24111098,0.0
point_of_sale.24111099,24111099,5.0
point_of_sale.24111100,24111100,1.0
point_of_sale.24111128,24111128,5.0
point_of_sale.24120502,24120502,0.0
point_of_sale.24120505,24120505,0.0
point_of_sale.24120506,24120506,0.0
point_of_sale.24120507,24120507,0.0
point_of_sale.24120508,24120508,0.0
point_of_sale.24120510,24120510,0.0
point_of_sale.24121028,24121028,5.0
point_of_sale.24121037,24121037,0.0
point_of_sale.24121046,24121046,0.0
point_of_sale.24121047,24121047,0.0
point_of_sale.24121049,24121049,0.0
point_of_sale.24121052,24121052,-2.0
point_of_sale.24121053,24121053,0.0
point_of_sale.24121055,24121055,0.0
point_of_sale.24121059,24121059,0.0
point_of_sale.24121060,24121060,2.0
point_of_sale.24121061,24121061,-7.0
point_of_sale.24121062,24121062,21.0
point_of_sale.24121063,24121063,0.0
point_of_sale.24121064,24121064,-4.0
point_of_sale.24121065,24121065,18.0
point_of_sale.24121066,24121066,3.0
point_of_sale.24121067,24121067,0.0
point_of_sale.24121068,24121068,-2.0
point_of_sale.24121069,24121069,-2.0
point_of_sale.24121070,24121070,18.0
point_of_sale.24121071,24121071,-4.0
point_of_sale.24121072,24121072,7.0
point_of_sale.24121073,24121073,0.0
point_of_sale.24121074,24121074,8.0
point_of_sale.24121075,24121075,2.0
point_of_sale.24121076,24121076,17.0
point_of_sale.24121077,24121077,33.0
point_of_sale.24121079,24121079,19.0
point_of_sale.24121080,24121080,3.0
point_of_sale.24121081,24121081,0.0
point_of_sale.24121082,24121082,32.0
point_of_sale.24121085,24121085,7.0
point_of_sale.24121087,24121087,-2.0
