ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_200382_8d594295,__export__.product_product_18189_6dbcc5a2,JA521017,1.0
__export__.stock_inventory_line_200432_f7a56705,__export__.product_product_18440_abc96635,JB511019,171.0
__export__.stock_inventory_line_200509_9bffb4d2,__export__.product_product_18893_8c595228,JD521002,526.0
__export__.stock_inventory_line_198334_305630eb,__export__.product_product_37562_f522a1f2,03100338,53.0
__export__.stock_inventory_line_198340_d4a0dc82,__export__.product_product_37584_f5648c75,05101018,39.0
__export__.stock_inventory_line_199188_e3e37797,__export__.product_product_38879_6c70648c,AA101057,11.0
__export__.stock_inventory_line_199306_d9102844,__export__.product_product_39154_65c7a6c5,AA111085,55.0
__export__.stock_inventory_line_199672_0bd8a5d3,__export__.product_product_47671_3639753f,CD101082,29.0
__export__.stock_inventory_line_199698_3b93dff5,__export__.product_product_14214_7e3a22e8,DD111018,312.0
__export__.stock_inventory_line_199699_212afe05,__export__.product_product_14219_5367380d,DD111048,33.0
__export__.stock_inventory_line_199761_e87dad1f,__export__.product_product_14583_695d257d,DG111008,218.0
__export__.stock_inventory_line_200206_c32e4746,__export__.product_product_16928_7242b1f9,DS201035,41.0
__export__.stock_inventory_line_198888_005bd9dc,__export__.product_product_12636_4201873b,39104319,225.0
__export__.stock_inventory_line_198934_24449375,__export__.product_product_12753_805bbacd,39219019,441.0
__export__.stock_inventory_line_199986_ee5de27b,__export__.product_product_15835_8ecc8bc5,DJ201176,58.0
__export__.stock_inventory_line_200130_ddd93143,__export__.product_product_16638_8ddb947e,DS101096,101.0
__export__.stock_inventory_line_200206_c32e4746,__export__.product_product_16928_7242b1f9,DS201035,41.0
__export__.stock_inventory_line_200432_f7a56705,__export__.product_product_18440_abc96635,JB511019,171.0
__export__.stock_inventory_line_200509_9bffb4d2,__export__.product_product_18893_8c595228,JD521002,526.0
__export__.stock_inventory_line_198808_4c94357b,__export__.product_product_12191_a60fd7a0,36JW0014,44.0
__export__.stock_inventory_line_198811_540e82eb,__export__.product_product_12252_aa9afabd,36JZ0002,15.0
__export__.stock_inventory_line_198832_d81393ff,__export__.product_product_12378_d2add5a9,36PA0002,15.0
__export__.stock_inventory_line_198958_0a8b6ffe,__export__.product_product_38830_2d55421a,52AA4035,3.0
__export__.stock_inventory_line_199008_ff44d238,__export__.product_product_13147_4e371160,52DU0104,35.0
__export__.stock_inventory_line_199801_9ccedd3b,__export__.product_product_14844_8bf469c1,DH101344,31.0
__export__.stock_inventory_line_199905_08204593,__export__.product_product_15456_68091ab0,DJ101012,35.0
__export__.stock_inventory_line_199910_0a22fa26,__export__.product_product_15484_254e9189,DJ101216,13.0
__export__.stock_inventory_line_199969_2df87078,__export__.product_product_15766_29e293ac,DJ191055,36.0
__export__.stock_inventory_line_200030_5245e728,__export__.product_product_16022_360e9fc0,DK101755,12.0
__export__.stock_inventory_line_200409_c6f2b8dd,__export__.product_product_18285_931b2c81,JA581221,55.0
__export__.stock_inventory_line_200445_fe935ef8,__export__.product_product_18552_ae6fbde5,JC101034,65.0
__export__.stock_inventory_line_198895_f90cefcd,__export__.product_product_38685_3347ae00,39128321,73.0
__export__.stock_inventory_line_198946_d07d9e7a,__export__.product_product_12836_413bc739,39262921,45.0
__export__.stock_inventory_line_199775_da2914e7,__export__.product_product_14754_0911f799,DH101006,52.0
__export__.stock_inventory_line_200093_41a2edd0,__export__.product_product_16342_58194f41,DM101139,220.0
__export__.stock_inventory_line_200094_d1189d54,__export__.product_product_16343_04f3e8a2,DM101140,227.0
__export__.stock_inventory_line_211851_8b9f2cee,__export__.product_product_23271_8ebc4339,JK402411,2.0
__export__.stock_inventory_line_205127_6cd46f60,__export__.product_product_39269_81cf0d47,AA141018,1.0
__export__.stock_inventory_line_198927_bd612004,__export__.product_product_12732_708a75a8,39201719,132.0
__export__.stock_inventory_line_208135_02a96400,__export__.product_product_15703_664d6bd3,DJ181044,-1.0
__export__.stock_inventory_line_199160_79069021,__export__.product_product_49871_f9763b4f,6203(NACHi),-7.0
__export__.stock_inventory_line_199153_5ae54aa2,__export__.product_product_49865_9ea94de1,6004(NACHi),42.0
__export__.stock_inventory_line_199169_cacfcd52,__export__.product_product_49863_c690339a,6305(NACHi),-26.0
__export__.stock_inventory_line_198322_43ca64fd,__export__.product_product_37515_dbde506e,01100342K,2.0
__export__.stock_inventory_line_199168_d4052804,__export__.product_product_49867_b4945d5f,6304(NACHi),59.0
__export__.stock_inventory_line_200148_21e24433,__export__.product_product_16711_0e210be7,DS101365,-2.0
__export__.stock_inventory_line_199392_85d25ea7,__export__.product_product_39378_959938c8,AA191071,-3.0
__export__.stock_inventory_line_198648_dcbbfc29,__export__.product_product_11456_4154bc3e,36311006,88.0
__export__.stock_inventory_line_198882_a598d6a3,__export__.product_product_12623_509e24cb,39100820,0.0
__export__.stock_inventory_line_200093_41a2edd0,__export__.product_product_16342_58194f41,DM101139,164.0
__export__.stock_inventory_line_198887_762d611b,__export__.product_product_12635_e93d2566,39104219,47.0
__export__.stock_inventory_line_199532_ef106086,__export__.product_product_47152_40778cfa,AN101149,7.0
__export__.stock_inventory_line_199283_494fec98,__export__.product_product_39070_380d1ece,AA101844,0.0
__export__.stock_inventory_line_199517_89f47d83,__export__.product_product_47121_5eb1d4c7,AM191005,13.0
__export__.stock_inventory_line_199543_541b9ac4,__export__.product_product_47169_058cd2ee,AN101190,-2.0
__export__.stock_inventory_line_198387_21c0fe3d,__export__.product_product_37782_686fba5c,22191097,-2.0
__export__.stock_inventory_line_200270_553dff87,__export__.product_product_17459_bbc24de0,DU201008,0.0
__export__.stock_inventory_line_198621_295dcf8c,__export__.product_product_11385_a84e059b,31151060,76.0
__export__.stock_inventory_line_200090_31138057,__export__.product_product_16326_2ba4348d,DL181080,78.0
__export__.stock_inventory_line_199306_d9102844,__export__.product_product_39154_65c7a6c5,AA111085,18.0
__export__.stock_inventory_line_199352_3091bd58,__export__.product_product_39265_b5b83348,AA141004K,29.0
__export__.stock_inventory_line_210447_9f7a7050,__export__.product_product_18445_64be1fef,JB531005,-1.0
__export__.stock_inventory_line_199814_9810b6b1,__export__.product_product_14894_bd7ce436,DH101520,55.0
__export__.stock_inventory_line_200375_3cf4fe5e,__export__.product_product_18166_db60c6c8,JA511006,12.0
__export__.stock_inventory_line_199969_2df87078,__export__.product_product_15766_29e293ac,DJ191055,16.0
__export__.stock_inventory_line_199797_7ae941c2,__export__.product_product_14814_7cbd90b7,DH101195,83.0
__export__.stock_inventory_line_199810_cc2ea5d6,__export__.product_product_14883_85261f02,DH101484,7.0
__export__.stock_inventory_line_199761_e87dad1f,__export__.product_product_14583_695d257d,DG111008,186.0
__export__.stock_inventory_line_198752_1f4746a2,__export__.product_product_11776_45d21b56,36DU1503,35.0
__export__.stock_inventory_line_202614_dcab0664,__export__.product_product_11778_ca5de903,36DU1505,-1.0
__export__.stock_inventory_line_199964_d978a8b0,__export__.product_product_15749_c19a10fa,DJ191023,-3.0
__export__.stock_inventory_line_198725_b8e43506,__export__.product_product_11632_f03fb0a4,36DJ4104,-3.0
__export__.stock_inventory_line_198594_153fa6cb,__export__.product_product_11300_0b324a18,31101021,16.0
__export__.stock_inventory_line_201024_db98e4cd,__export__.product_product_33240_f943c728,PF121076,3.0
__export__.stock_inventory_line_199698_3b93dff5,__export__.product_product_14214_7e3a22e8,DD111018,233.0
__export__.stock_inventory_line_200776_9575dfec,__export__.product_product_23879_2b47923b,JN351604,15.0
__export__.stock_inventory_line_198613_2f8eaf96,__export__.product_product_11351_fc7818c6,31111058,4.0
__export__.stock_inventory_line_198612_7ad4d003,__export__.product_product_11350_86a3f005,31111056,7.0
__export__.stock_inventory_line_198741_6add7230,__export__.product_product_11706_899b1546,36DS1004,244.0
__export__.stock_inventory_line_200120_5a6d548a,__export__.product_product_16613_fd429184,DS101036,634.0
__export__.stock_inventory_line_200127_bbfa4d0f,__export__.product_product_16630_4ea0250e,DS101072,98.0
__export__.stock_inventory_line_199777_741793ee,__export__.product_product_14757_9da29210,DH101016,338.0
__export__.stock_inventory_line_199779_64d5bf15,__export__.product_product_14763_54cd67f3,DH101033,34.0
__export__.stock_inventory_line_199676_bfca9043,__export__.product_product_14110_99307f6f,CL201023,25.0
__export__.stock_inventory_line_199956_10468786,__export__.product_product_15715_5440f108,DJ181087,120.0
__export__.stock_inventory_line_199523_e8113fb0,__export__.product_product_47135_92313374,AN101083,78.0
__export__.stock_inventory_line_200012_5f618404,__export__.product_product_47767_e4c98c5d,DK101277,17.0
__export__.stock_inventory_line_198949_d47b9c7a,__export__.product_product_12852_41097947,39271217,12.0
__export__.stock_inventory_line_200108_47670e6a,__export__.product_product_16487_0c0aa33f,DP101168,0.0
__export__.stock_inventory_line_200865_3bc78f80,__export__.product_product_32186_251cbe2d,JZ511016,37.0
__export__.stock_inventory_line_200509_9bffb4d2,__export__.product_product_18893_8c595228,JD521002,462.0
__export__.stock_inventory_line_200505_0154dd84,__export__.product_product_18884_48a84f25,JD511010,40.0
__export__.stock_inventory_line_200864_4bf2929b,__export__.product_product_32185_76366947,JZ511004,17.0
__export__.stock_inventory_line_200866_75a43d2c,__export__.product_product_32191_7ca29dee,JZ511203,12.0
__export__.stock_inventory_line_198773_9de45f98,__export__.product_product_11892_8a61f1aa,36JE0005,8.0
__export__.stock_inventory_line_200394_38bdaf2e,__export__.product_product_18221_f8c7c29e,JA541212,334.0
__export__.stock_inventory_line_198466_1920b8b9,__export__.product_product_38079_82cb2f52,24151098,18.0
