name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
,,JP113027,__export__.product_product_23931_f0048fde,stock.stock_location_stock,2.0
,,JP113029,__export__.product_product_23933_0044ebfd,stock.stock_location_stock,1.0
,,JU351001,__export__.product_product_24100_4b5ec4ff,stock.stock_location_stock,1.0
,,JY351205,__export__.product_product_31704_5a09cc83,stock.stock_location_stock,4.0
,,PD351248,__export__.product_product_50268_98935b57,stock.stock_location_stock,1.0
,,36JU0075,__export__.product_product_12167_656c6ea6,stock.stock_location_stock,2.0
,,JG151031,__export__.product_product_22637_c1f74e94,stock.stock_location_stock,1.0
,,JG351005,__export__.product_product_22717_750c4576,stock.stock_location_stock,1.0
,,36JY0170,__export__.product_product_12234_c61c5d3a,stock.stock_location_stock,1.0
,,JG161200,__export__.product_product_22646_4e026004,stock.stock_location_stock,2.0
,,JY161204,__export__.product_product_24344_01c2faa4,stock.stock_location_stock,1.0
,,JE351400,__export__.product_product_18988_e9f2ed54,stock.stock_location_stock,1.0
,,JP113028,__export__.product_product_23932_e886b3c4,stock.stock_location_stock,2.0
PRIBDM2021081101610,True,AA101577,__export__.product_product_39006_94d37d01,stock.stock_location_stock,7.0
,,AL201017,__export__.product_product_47072_64765fd4,stock.stock_location_stock,16.0
,,AN101421,__export__.product_product_47212_c67e2804,stock.stock_location_stock,20.0
,,DM191005,__export__.product_product_16397_4e1b26f7,stock.stock_location_stock,20.0
,,JN122000,__export__.product_product_23826_5922f6f8,stock.stock_location_stock,11.0
,,JN521001,__export__.product_product_23886_b85651cd,stock.stock_location_stock,24.0
PRIBDM2021081101612,True,06100702,__export__.product_product_37602_4d8efa5c,stock.stock_location_stock,10.0
,,22151106,__export__.product_product_37750_ac71c412,stock.stock_location_stock,4.0
,,24101804,__export__.product_product_37844_a13757cd,stock.stock_location_stock,2.0
,,24121079,__export__.product_product_37897_2d928e61,stock.stock_location_stock,10.0
,,24121082,__export__.product_product_37900_f18bb3e5,stock.stock_location_stock,32.0
,,24121085,__export__.product_product_37901_95252dd5,stock.stock_location_stock,7.0
,,24121118,__export__.product_product_37905_a3298065,stock.stock_location_stock,7.0
,,24141070,__export__.product_product_38024_f88176d6,stock.stock_location_stock,10.0
,,24171014K,__export__.product_product_38194_c4f2eaeb,stock.stock_location_stock,50.0
,,30191031,__export__.product_product_11272_39541b21,stock.stock_location_stock,50.0
,,36AA4021,__export__.product_product_38455_c651a0d1,stock.stock_location_stock,20.0
,,AA191010,__export__.product_product_39360_ec9e5a33,stock.stock_location_stock,22.0
,,AA191064,__export__.product_product_39372_3be32718,stock.stock_location_stock,7.0
,,AA191077,__export__.product_product_39381_c06c89b9,stock.stock_location_stock,21.0
,,AA191085,__export__.product_product_39386_d2227e69,stock.stock_location_stock,21.0
,,AA191092,__export__.product_product_39388_2e2ed593,stock.stock_location_stock,21.0
,,AA191094,__export__.product_product_46661_a7ef76c4,stock.stock_location_stock,22.0
,,CL201023,__export__.product_product_14110_99307f6f,stock.stock_location_stock,107.0
,,24181045,__export__.product_product_38230_c0b6d99b,stock.stock_location_stock,1.0
PRIBDM2021081101614,True,56JL384R,__export__.product_product_13902_47af8fe5,stock.stock_location_stock,1.0
,,DK181092,__export__.product_product_16244_e48ea4e5,stock.stock_location_stock,4.0
,,YPF19002,__export__.product_product_37497_305965dc,stock.stock_location_stock,2.0
,,JH131850,__export__.product_product_22969_ac63cb65,stock.stock_location_stock,1.0
,,52DH2617,__export__.product_product_12995_addf701c,stock.stock_location_stock,3.0
,,52JF0228,__export__.product_product_13333_74af9fc7,stock.stock_location_stock,1.0
,,DH181133,__export__.product_product_15269_3da31b6f,stock.stock_location_stock,2.0
,,56JL2046,__export__.product_product_13887_ed17af0f,stock.stock_location_stock,2.0
PRIBDM2021081101616,True,36AA4055,__export__.product_product_38471_b49b6a2b,stock.stock_location_stock,6.0
,,36BA4009K,__export__.product_product_38535_67bd7876,stock.stock_location_stock,15.0
,,36DH4115,__export__.product_product_11550_5cadf929,stock.stock_location_stock,4.0
,,36PA0004,__export__.product_product_12380_448513ef,stock.stock_location_stock,15.0
,,39128321,__export__.product_product_38685_3347ae00,stock.stock_location_stock,49.0
,,39218919,__export__.product_product_12751_5a5dd00b,stock.stock_location_stock,168.0
,,39240320,__export__.product_product_12787_61902238,stock.stock_location_stock,33.0
,,52240483,__export__.product_product_38805_30470c34,stock.stock_location_stock,10.0
,,52JL0994,__export__.product_product_13462_3e025b49,stock.stock_location_stock,2.0
,,56DK32Y9,__export__.product_product_13773_a36ea2c3,stock.stock_location_stock,3.0
,,59050002,__export__.product_product_13989_57372369,stock.stock_location_stock,7.0
,,59150003,__export__.product_product_38852_276acf92,stock.stock_location_stock,20.0
,,59200012,__export__.product_product_38855_34d7d6f2,stock.stock_location_stock,30.0
,,AA101013,__export__.product_product_38864_2845f219,stock.stock_location_stock,96.0
,,52JL0221,__export__.product_product_13432_a9a1ec3b,stock.stock_location_stock,1.0
,,52JL1065,__export__.product_product_13479_0da62ef3,stock.stock_location_stock,1.0
,,52JL1067,__export__.product_product_13480_368b990c,stock.stock_location_stock,1.0
,,36JC0003,__export__.product_product_11849_3c79ad93,stock.stock_location_stock,15.0
,,52JL1057,__export__.product_product_13475_e46f304f,stock.stock_location_stock,1.0
,,52PD0117,__export__.product_product_13681_53d6b3a3,stock.stock_location_stock,1.0
,,52PD0678,__export__.product_product_13699_941fc37f,stock.stock_location_stock,1.0
,,36JZ0111,__export__.product_product_12324_4dcc435f,stock.stock_location_stock,1.0
,,52JL0992,__export__.product_product_13460_e012f756,stock.stock_location_stock,2.0
,,52JL0993,__export__.product_product_13461_aee1b5d2,stock.stock_location_stock,2.0
,,52JL1024,__export__.product_product_13471_97941981,stock.stock_location_stock,5.0
,,52PD0149,__export__.product_product_13683_26ccbcb1,stock.stock_location_stock,1.0
,,59040042,__export__.product_product_50269_6e786ff1,stock.stock_location_stock,5.0
,,59150012,__export__.product_product_38853_fe508338,stock.stock_location_stock,4.0
,,52JL0998,__export__.product_product_13466_3875bfca,stock.stock_location_stock,1.0
,,52PD0154,__export__.product_product_13686_e51a8c70,stock.stock_location_stock,1.0
,,59040043,__export__.product_product_13986_246bf793,stock.stock_location_stock,9.0
,,52244040,__export__.product_product_38819_d7d1b5aa,stock.stock_location_stock,6.0
,,52JL0196,__export__.product_product_13424_32fae1cf,stock.stock_location_stock,2.0
,,56JL10X3,__export__.product_product_13876_55aa2af5,stock.stock_location_stock,1.0
,,52JL0997,__export__.product_product_13465_31964fc5,stock.stock_location_stock,1.0
,,59040041,__export__.product_product_13985_0c6a3b48,stock.stock_location_stock,10.0
,,36JF0029,__export__.product_product_11933_bfa17171,stock.stock_location_stock,1.0
,,52JL0218,__export__.product_product_13429_231d99a0,stock.stock_location_stock,1.0
,,52JL0349,__export__.product_product_13436_61ca4991,stock.stock_location_stock,1.0
,,52JL0216,__export__.product_product_13427_b61de030,stock.stock_location_stock,1.0
,,52JL0350,__export__.product_product_13437_823fa326,stock.stock_location_stock,1.0
,,52JL1055,__export__.product_product_13474_75d8d486,stock.stock_location_stock,1.0
,,59120003,__export__.product_product_13994_437a61ca,stock.stock_location_stock,10.0
,,52JL0995,__export__.product_product_13463_9f11ccea,stock.stock_location_stock,1.0
,,52JL0996,__export__.product_product_13464_38e99899,stock.stock_location_stock,2.0
