ID,Product/Product/ID,Point of Sale Category,Internal Reference,Quantity On Hand,Sales Price,Cost,Updated Sales Price,Updated Cost,Status
17148,__export__.product_product_17145_58a47128,Bajaj / 2W,DT191009,0.0,6640.0,6640.0,,,
23989,__export__.product_product_23986_1d7b2382,Bajaj / 2W,JP191001,0.0,10920.0,10920.0,,,
24074,__export__.product_product_24071_78f28e8f,Bajaj / 2W,JU191000,0.0,8190.0,8190.0,,,
16282,__export__.product_product_16279_97a96c08,Bajaj / 2W,DK211004,0.0,4410.0,4410.0,,,
32084,__export__.product_product_32081_a9bea935,Bajaj / 2W,JZ191000,0.0,6155.0,6155.0,,,
22479,__export__.product_product_22476_cad2a8ed,Bajaj / 2W,JF191009,0.0,2370.0,2370.0,,,
12992,__export__.product_product_12989_f8ae61bc,Bajaj / 2W,52DH2406,0.0,8500.0,8500.0,,,
12987,__export__.product_product_12984_22d4f134,Bajaj / 2W,52DH2397,0.0,10360.0,10360.0,,,
31652,__export__.product_product_31649_f0fed691,Bajaj / 2W,JY191010,0.0,73750.0,73750.0,,,
22480,__export__.product_product_22477_0484cb57,Bajaj / 2W,JF191012,0.0,1780.0,1780.0,,,
24231,__export__.product_product_24228_e1d9c422,Bajaj / 2W,JW191000,0.0,5440.0,5440.0,,,
18808,__export__.product_product_18805_6a598a86,Bajaj / 2W,JD191012,0.0,5780.0,5780.0,,,
18406,__export__.product_product_18403_e47a605f,Bajaj / 2W,JB191000,0.0,2590.0,2590.0,,,
23872,__export__.product_product_23869_9e96a61f,Bajaj / 2W,JN191000,0.0,7740.0,7740.0,,,
23030,__export__.product_product_23027_d6d28192,Bajaj / 2W,JH191000,0.0,3910.0,3910.0,,,
32827,__export__.product_product_32824_cf502f36,Bajaj / 2W,PA191005,0.0,9160.0,9160.0,,,
15866,__export__.product_product_15863_2b1f1cf6,Bajaj / 2W,DJ211001,0.0,7490.0,7490.0,,,
23539,__export__.product_product_23536_d9f81cf2,Bajaj / 2W,JL191001,0.0,6520.0,6520.0,,,
18803,__export__.product_product_18800_9d35d7dd,Bajaj / 2W,JD191000,0.0,2590.0,2590.0,,,
16286,__export__.product_product_16283_85434bcc,Bajaj / 2W,DK211012,0.0,6160.0,6160.0,,,
16287,__export__.product_product_16284_72731945,Bajaj / 2W,DK211014,0.0,4280.0,4280.0,,,
23540,__export__.product_product_23537_984837a9,Bajaj / 2W,JL191004,0.0,4590.0,4590.0,,,
18804,__export__.product_product_18801_72430ded,Bajaj / 2W,JD191003,0.0,4340.0,4340.0,,,
33332,__export__.product_product_33329_87bbb798,Bajaj / 2W,PF191000,0.0,5720.0,5720.0,,,
24146,__export__.product_product_24143_2e3d262c,Bajaj / 2W,JV191001,0.0,5645.0,5645.0,,,
16420,__export__.product_product_16417_d950e8f2,Bajaj / 2W,DM211021,0.0,9600.0,9600.0,,,
49112,__export__.product_product_49109_ce231ba0,Bajaj / QUTE,BF182625,0.0,50.0,50.0,,,
49111,__export__.product_product_49108_c27e6ff7,Bajaj / QUTE,BF182624,0.0,50.0,50.0,,,
24289,__export__.product_product_24286_3ef72954,Bajaj / 2W,JW73033H,0.0,5065.0,5065.0,,,
24291,__export__.product_product_24288_156244f4,Bajaj / 2W,JW73034J,0.0,2900.0,2900.0,,,
24290,__export__.product_product_24287_41ba0f83,Bajaj / 2W,JW73033J,0.0,4920.0,4920.0,,,
17820,__export__.product_product_17817_7ccbfd1d,Bajaj / 2W,DZ73134G,0.0,6520.0,6520.0,,,
17819,__export__.product_product_17816_78651934,Bajaj / 2W,DZ73133W,0.0,6770.0,6770.0,,,
23305,__export__.product_product_23302_0bd7142a,Bajaj / 2W,JK73034C,0.0,7110.0,7110.0,,,
