External ID,Internal Reference,Sales Price,Cost
point_of_sale.PA72013B,PA72013B,10750.0,10750.0
point_of_sale.PA72013E,PA72013E,2640.0,2640.0
point_of_sale.PA72013F,PA72013F,4750.0,4750.0
point_of_sale.PA72043B,PA72043B,4970.0,4970.0
point_of_sale.PA74033C,PA74033C,2300.0,2300.0
point_of_sale.PA74033F,PA74033F,2680.0,2680.0
point_of_sale.PA74035R,PA74035R,1160.0,1160.0
point_of_sale.PA74035V,PA74035V,960.0,960.0
point_of_sale.PA74035W,PA74035W,1270.0,1270.0
point_of_sale.PA74043C,PA74043C,1570.0,1570.0
point_of_sale.PA74043F,PA74043F,1080.0,1080.0
point_of_sale.PA74045R,PA74045R,2720.0,2720.0
point_of_sale.PA74045V,PA74045V,980.0,980.0
point_of_sale.PA74045W,PA74045W,1430.0,1430.0
point_of_sale.PA74053C,PA74053C,2670.0,2670.0
point_of_sale.PA74053F,PA74053F,1790.0,1790.0
point_of_sale.PA74055R,PA74055R,1660.0,1660.0
point_of_sale.PA74055V,PA74055V,5510.0,5510.0
point_of_sale.PA74055W,PA74055W,2680.0,2680.0
point_of_sale.PA75013B,PA75013B,7830.0,7830.0
point_of_sale.PA75013C,PA75013C,15190.0,15190.0
point_of_sale.PA75013E,PA75013E,3090.0,3090.0
point_of_sale.PA75013F,PA75013F,7520.0,7520.0
point_of_sale.PA75014N,PA75014N,2800.0,2800.0
point_of_sale.PA75015D,PA75015D,4980.0,4980.0
point_of_sale.PA75015E,PA75015E,3750.0,3750.0
point_of_sale.PA75043C,PA75043C,8410.0,8410.0
point_of_sale.PA75043F,PA75043F,4470.0,4470.0
point_of_sale.PA75045R,PA75045R,8560.0,8560.0
point_of_sale.PA75045V,PA75045V,8570.0,8570.0
point_of_sale.PA75045W,PA75045W,7960.0,7960.0
point_of_sale.PD113000,PD113000,2810.0,2810.0
point_of_sale.PD113001,PD113001,2200.0,2200.0
point_of_sale.PD113002,PD113002,670.0,670.0
point_of_sale.PD113003,PD113003,1120.0,1120.0
point_of_sale.PD113004,PD113004,330.0,330.0
point_of_sale.PD113010,PD113010,230.0,230.0
point_of_sale.PD113207,PD113207,1490.0,1490.0
point_of_sale.PD113208,PD113208,3370.0,3370.0
point_of_sale.PD113410,PD113410,65.0,65.0
point_of_sale.PD113411,PD113411,105.0,105.0
point_of_sale.PD113413,PD113413,1300.0,1300.0
point_of_sale.PD113803,PD113803,45.0,45.0
point_of_sale.PD113806,PD113806,85.0,85.0
point_of_sale.PD113807,PD113807,55.0,55.0
point_of_sale.PD113814,PD113814,160.0,160.0
point_of_sale.PD121006,PD121006,1390.0,1390.0
point_of_sale.PD121007,PD121007,25950.0,25950.0
point_of_sale.PD121009,PD121009,3680.0,3680.0
point_of_sale.PD121010,PD121010,5280.0,5280.0
point_of_sale.PD121011,PD121011,9750.0,9750.0
point_of_sale.PD121012,PD121012,8160.0,8160.0
point_of_sale.PD121015,PD121015,20030.0,20030.0
point_of_sale.PD122000,PD122000,7800.0,7800.0
point_of_sale.PD122003,PD122003,290.0,290.0
point_of_sale.PD122004,PD122004,75.0,75.0
point_of_sale.PD122005,PD122005,4820.0,4820.0
point_of_sale.PD122010,PD122010,14850.0,14850.0
point_of_sale.PD122013,PD122013,2000.0,2000.0
point_of_sale.PD122016,PD122016,5210.0,5210.0
point_of_sale.PD131007,PD131007,14130.0,14130.0
point_of_sale.PD131212,PD131212,2560.0,2560.0
point_of_sale.PD131218,PD131218,4730.0,4730.0
point_of_sale.PD131224,PD131224,5490.0,5490.0
point_of_sale.PD131803,PD131803,360.0,360.0
point_of_sale.PD131804,PD131804,14660.0,14660.0
point_of_sale.PD131806,PD131806,18620.0,18620.0
point_of_sale.PD131807,PD131807,15820.0,15820.0
point_of_sale.PD131808,PD131808,3570.0,3570.0
point_of_sale.PD131810,PD131810,5150.0,5150.0
point_of_sale.PD131815,PD131815,7960.0,7960.0
point_of_sale.PD131817,PD131817,2580.0,2580.0
point_of_sale.PD131824,PD131824,9950.0,9950.0
point_of_sale.PD131834,PD131834,8450.0,8450.0
point_of_sale.PD131835,PD131835,510.0,510.0
point_of_sale.PD131853,PD131853,21620.0,21620.0
point_of_sale.PD131887,PD131887,6060.0,6060.0
point_of_sale.PD151000,PD151000,6080.0,6080.0
point_of_sale.PD151001,PD151001,650.0,650.0
point_of_sale.PD151003,PD151003,4210.0,4210.0
point_of_sale.PD151004,PD151004,5100.0,5100.0
point_of_sale.PD151005,PD151005,1860.0,1860.0
point_of_sale.PD151006,PD151006,290.0,290.0
point_of_sale.PD151020,PD151020,3880.0,3880.0
point_of_sale.PD161001,PD161001,540.0,540.0
point_of_sale.PD161004,PD161004,730.0,730.0
point_of_sale.PD161204,PD161204,2720.0,2720.0
point_of_sale.PD161207,PD161207,1030.0,1030.0
point_of_sale.PD161208,PD161208,1570.0,1570.0
point_of_sale.PD171008,PD171008,2900.0,2900.0
point_of_sale.PD171048,PD171048,65.0,65.0
point_of_sale.PD171049,PD171049,160.0,160.0
point_of_sale.PD171603,PD171603,160.0,160.0
point_of_sale.PD171612,PD171612,2520.0,2520.0
point_of_sale.PD171616,PD171616,640.0,640.0
point_of_sale.PD181212,PD181212,1910.0,1910.0
point_of_sale.PD181213,PD181213,1720.0,1720.0
point_of_sale.PD181214,PD181214,1310.0,1310.0
point_of_sale.PD181215,PD181215,1470.0,1470.0
point_of_sale.PD181216,PD181216,165.0,165.0
point_of_sale.PD181222,PD181222,2650.0,2650.0
point_of_sale.PD181223,PD181223,280.0,280.0
point_of_sale.PD181239,PD181239,160.0,160.0
point_of_sale.PD181241,PD181241,630.0,630.0
point_of_sale.PD181401,PD181401,85.0,85.0
point_of_sale.PD181408,PD181408,1880.0,1880.0
point_of_sale.PD191001,PD191001,45.0,45.0
point_of_sale.PD191002,PD191002,11080.0,11080.0
point_of_sale.PD191009,PD191009,14250.0,14250.0
point_of_sale.PD231201,PD231201,4890.0,4890.0
point_of_sale.PD231202,PD231202,2700.0,2700.0
point_of_sale.PD231204,PD231204,435.0,435.0
point_of_sale.PD231205,PD231205,390.0,390.0
point_of_sale.PD231206,PD231206,250.0,250.0
point_of_sale.PD231401,PD231401,730.0,730.0
point_of_sale.PD231402,PD231402,1730.0,1730.0
point_of_sale.PD231403,PD231403,1310.0,1310.0
point_of_sale.PD231404,PD231404,75.0,75.0
point_of_sale.PD231411,PD231411,85.0,85.0
point_of_sale.PD231412,PD231412,45.0,45.0
point_of_sale.PD231420,PD231420,4150.0,4150.0
point_of_sale.PD231604,PD231604,5500.0,5500.0
point_of_sale.PD231605,PD231605,5540.0,5540.0
point_of_sale.PD232602,PD232602,12800.0,12800.0
point_of_sale.PD232603,PD232603,435.0,435.0
point_of_sale.PD233002,PD233002,3280.0,3280.0
point_of_sale.PD233003,PD233003,3160.0,3160.0
point_of_sale.PD233020,PD233020,570.0,570.0
point_of_sale.PD233022,PD233022,160.0,160.0
point_of_sale.PD233030,PD233030,190.0,190.0
point_of_sale.PD233031,PD233031,310.0,310.0
point_of_sale.PD233053,PD233053,125.0,125.0
point_of_sale.PD233054,PD233054,455.0,455.0
point_of_sale.PD233063,PD233063,3890.0,3890.0
point_of_sale.PD233064,PD233064,1900.0,1900.0
point_of_sale.PD351002,PD351002,4390.0,4390.0
point_of_sale.PD351215,PD351215,13070.0,13070.0
point_of_sale.PD351220,PD351220,1070.0,1070.0
point_of_sale.PD351222,PD351222,2230.0,2230.0
point_of_sale.PD351235,PD351235,930.0,930.0
point_of_sale.PD351237,PD351237,2830.0,2830.0
point_of_sale.PD351252,PD351252,6270.0,6270.0
point_of_sale.PD401001,PD401001,5000.0,5000.0
point_of_sale.PD401004,PD401004,5600.0,5600.0
point_of_sale.PD401005,PD401005,5430.0,5430.0
point_of_sale.PD401006,PD401006,6470.0,6470.0
point_of_sale.PD401007,PD401007,5530.0,5530.0
point_of_sale.PD401014,PD401014,4020.0,4020.0
point_of_sale.PD401032,PD401032,6150.0,6150.0
point_of_sale.PD401033,PD401033,2350.0,2350.0
point_of_sale.PD401038,PD401038,770.0,770.0
point_of_sale.PD401045,PD401045,2210.0,2210.0
point_of_sale.PD401046,PD401046,5160.0,5160.0
point_of_sale.PD401400,PD401400,3910.0,3910.0
point_of_sale.PD401401,PD401401,2780.0,2780.0
point_of_sale.PD401404,PD401404,3790.0,3790.0
point_of_sale.PD401409,PD401409,1650.0,1650.0
point_of_sale.PD401424,PD401424,2180.0,2180.0
point_of_sale.PD401601,PD401601,1340.0,1340.0
point_of_sale.PD402002,PD402002,425.0,425.0
point_of_sale.PD402004,PD402004,21010.0,21010.0
point_of_sale.PD402005,PD402005,23750.0,23750.0
point_of_sale.PD402007,PD402007,21680.0,21680.0
point_of_sale.PD402212,PD402212,4400.0,4400.0
point_of_sale.PD402213,PD402213,650.0,650.0
point_of_sale.PD402214,PD402214,520.0,520.0
point_of_sale.PD402226,PD402226,4050.0,4050.0
point_of_sale.PD402237,PD402237,4480.0,4480.0
point_of_sale.PD402400,PD402400,41430.0,41430.0
point_of_sale.PD402402,PD402402,28930.0,28930.0
point_of_sale.PD402418,PD402418,31160.0,31160.0
point_of_sale.PD402602,PD402602,1000.0,1000.0
point_of_sale.PD402604,PD402604,1320.0,1320.0
point_of_sale.PD402606,PD402606,5540.0,5540.0
point_of_sale.PD402607,PD402607,1280.0,1280.0
point_of_sale.PD402608,PD402608,5300.0,5300.0
point_of_sale.PD403602,PD403602,3040.0,3040.0
point_of_sale.PD511025,PD511025,125.0,125.0
point_of_sale.PD511054,PD511054,20240.0,20240.0
point_of_sale.PD511129,PD511129,55.0,55.0
point_of_sale.PD511224,PD511224,9390.0,9390.0
point_of_sale.PD511229,PD511229,900.0,900.0
point_of_sale.PD531029,PD531029,2010.0,2010.0
point_of_sale.PD551033,PD551033,5720.0,5720.0
point_of_sale.PD551201,PD551201,1240.0,1240.0
point_of_sale.PD551202,PD551202,3150.0,3150.0
point_of_sale.PD551203,PD551203,1330.0,1330.0
point_of_sale.PD551204,PD551204,290.0,290.0
point_of_sale.PD551400,PD551400,9950.0,9950.0
point_of_sale.PD551419,PD551419,1340.0,1340.0
point_of_sale.PD551420,PD551420,95.0,95.0
point_of_sale.PD551421,PD551421,3330.0,3330.0
point_of_sale.PD551427,PD551427,400.0,400.0
point_of_sale.PD551433,PD551433,815.0,815.0
point_of_sale.PD551439,PD551439,670.0,670.0
point_of_sale.PD581009,PD581009,75.0,75.0
point_of_sale.PD581011,PD581011,55.0,55.0
point_of_sale.PD581012,PD581012,55.0,55.0
point_of_sale.PD581013,PD581013,2520.0,2520.0
point_of_sale.PD581017,PD581017,35.0,35.0
point_of_sale.PD581033,PD581033,8260.0,8260.0
point_of_sale.PD581215,PD581215,7060.0,7060.0
point_of_sale.PD581217,PD581217,7630.0,7630.0
point_of_sale.PD581410,PD581410,465.0,465.0
point_of_sale.PD582200,PD582200,8420.0,8420.0
point_of_sale.PD582400,PD582400,125.0,125.0
point_of_sale.PD582401,PD582401,490.0,490.0
point_of_sale.PD582402,PD582402,350.0,350.0
point_of_sale.PD591023,PD591023,350.0,350.0
point_of_sale.PD591100,PD591100,20.0,20.0
point_of_sale.PF111000,PF111000,18730.0,18730.0
point_of_sale.PF111092,PF111092,10.0,10.0
point_of_sale.PF111096,PF111096,25.0,25.0
point_of_sale.PF113000,PF113000,3040.0,3040.0
point_of_sale.PF113001,PF113001,1670.0,1670.0
point_of_sale.PF113002,PF113002,930.0,930.0
point_of_sale.PF113003,PF113003,580.0,580.0
point_of_sale.PF113008,PF113008,730.0,730.0
point_of_sale.PF113009,PF113009,950.0,950.0
point_of_sale.PF113012,PF113012,4470.0,4470.0
point_of_sale.PF113013,PF113013,4110.0,4110.0
point_of_sale.PF113014,PF113014,990.0,990.0
point_of_sale.PF113016,PF113016,2020.0,2020.0
point_of_sale.PF113028,PF113028,1970.0,1970.0
point_of_sale.PF113032,PF113032,1610.0,1610.0
point_of_sale.PF113033,PF113033,2000.0,2000.0
point_of_sale.PF113036,PF113036,85.0,85.0
point_of_sale.PF113037,PF113037,1290.0,1290.0
point_of_sale.PF113038,PF113038,1440.0,1440.0
point_of_sale.PF113044,PF113044,730.0,730.0
point_of_sale.PF113045,PF113045,310.0,310.0
point_of_sale.PF113046,PF113046,115.0,115.0
point_of_sale.PF113047,PF113047,125.0,125.0
point_of_sale.PF113064,PF113064,3820.0,3820.0
point_of_sale.PF113200,PF113200,1060.0,1060.0
point_of_sale.PF113202,PF113202,2730.0,2730.0
point_of_sale.PF113203,PF113203,2720.0,2720.0
point_of_sale.PF113206,PF113206,5910.0,5910.0
point_of_sale.PF113400,PF113400,115.0,115.0
point_of_sale.PF113401,PF113401,115.0,115.0
point_of_sale.PF113402,PF113402,100.0,100.0
point_of_sale.PF113403,PF113403,95.0,95.0
point_of_sale.PF121001,PF121001,22815.0,22815.0
point_of_sale.PF121002,PF121002,710.0,710.0
point_of_sale.PF121003,PF121003,610.0,610.0
point_of_sale.PF121010,PF121010,3990.0,3990.0
point_of_sale.PF121017,PF121017,4690.0,4690.0
point_of_sale.PF121018,PF121018,3680.0,3680.0
point_of_sale.PF121019,PF121019,5320.0,5320.0
point_of_sale.PF121024,PF121024,475.0,475.0
point_of_sale.PF121025,PF121025,1630.0,1630.0
point_of_sale.PF121026,PF121026,18805.0,18805.0
point_of_sale.PF121028,PF121028,85.0,85.0
point_of_sale.PF121043,PF121043,12290.0,12290.0
point_of_sale.PF121057,PF121057,12930.0,12930.0
point_of_sale.PF121064,PF121064,4630.0,4630.0
point_of_sale.PF121073,PF121073,1480.0,1480.0
point_of_sale.PF121076,PF121076,12240.0,12240.0
point_of_sale.PF121079,PF121079,2980.0,2980.0
point_of_sale.PF121082,PF121082,740.0,740.0
point_of_sale.PF121086,PF121086,11720.0,11720.0
point_of_sale.PF121088,PF121088,10580.0,10580.0
