STR_PART_CODE,STR_DESC,INT_QTY,INT_TOTAL_COST,INT_AVG_UNIT_COST
36JE0007,KIT CHAIN SPROCKET SPRINT,11,46654.3,4241.3
52JE0018,COVER CLUTCH SPRINT FOR SPD,2,8831.2,4415.6
DH101395,PRECOATED TRUSS SCREW - DH101302,13,1294.8,99.6
24161368,TOOL BOX RIGHT SIDE (PLASTIC),1,1319.7,1319.7
36JK0019,KIT AIR SCREW KIT,14,4183.2,298.8
36JK0021,KIT JET KIT,1,1942.2,1942.2
FD101078,SCREW PAN CROSS :- PRE-COATED,5,124.5,24.9
36DH4025,KIT DISC CLUTCH FRICTION E TYPE DIS135 (DH101499),88,167261.6,1900.7
DK161250,COVER CHAIN INTEGRAL,3,1643.4,547.8
DS101355,BOLT M5 HEX SOCKET HEAD,1,16.6,16.6
DK201078,STARTER RELAY- WITH NUT,19,28952.5,1524
DK101186,BOLT PIVOT LEVER CHANGE,3,771.9,257.3
DJ221016,SAREE GUARD BLACK PULSAR UG 3 180 NEW,7,19695.9,2813.7
DK101471,SHAFT INPUT TRANS SUB ASSY,2,5793.4,2896.7
JZ161203,CABLE CLUTCH,45,45387,1009
JZ151023,HOLDER FORK UPPER,5,5104.5,1020.9
JE551403,HUB CLUTCH FCC,1,1610.2,1610.2
JZ73033B,SEAT COWL ASSLY PNTD E BLK/BLUE DECAL,1,5361.8,5361.8
JN122006,SWING ARM ASSY (JN UG),4,24269.2,6067.3
JZ181208,BKT COWLING LOWER,4,763.6,190.9
24151168,ASSEMBLY AUTO ADJUSTER FRONT,1,564.4,564.4
24151171,KIT SHOE BRAKE,40,31208,780.2
24151173,KIT SPRING FRONT & LH,43,6067.3,141.1
DX151012,COLLAR ASSEMBLY,20,3984,199.2
DX191001,PIPE THROTTLE,25,4565,182.6
JZ151004,OUTER TUBE LH,4,19056.8,4764.2
JZ151006,OUTER TUBE RH,2,10258.8,5129.4
DU141228,FUEL COCK ASSEMBLY,15,15064.5,1004.3
JM171003,ADJUSTER CHAIN,6,3237,539.5
24151175,ASSEMBLY AUTO ADJUSTER LH,16,8366.4,522.9
24151178,ASSEMBLY BACK PLATE RH,6,9910.2,1651.7
24151182,KIT SPRING RH,15,2241,149.4
24151183,ASSEMBLY LEVER RH PARKING,7,1394.4,199.2
24181046,RACE UPPER BEARING,45,19795.5,439.9
24191126,ASSEMBLY REVERSE GEAR CABLE,6,3386.4,564.4
AA191077,CABLE COMPLETE CLUTCH RE-UG,16,13147.2,821.7
JK131015,AXLE FRONT,3,1668.3,556.1
JK161001,ROD BRAKE,2,481.4,240.7
JK161200,CABLE THROTTLE,4,2224.4,556.1
JK231400,GRIP-FRAME,3,9312.6,3104.2
JV511007,CAMSHAFT COMPLETE,5,12948,2589.6
AA101569,CHAIN -TIMING,179,141768,792
JD73014M,PNTD COWLING LH (JD181208) MID BLK,13,13055.9,1004.3
JD73014R,PNTD COWLING LH (JD181208) PASS RED,3,3486,1162
JD74034M,PNTD TANK SPOILER CENTRAL MID BLK,1,4731,4731
AL161180,CLIP NUT M4,100,4980,49.8
JK122002,ADJUSTER ASSY. CHAIN - LH,6,996,166
JK122004,ADJUSTER ASSY. CHAIN - RH,21,3311.7,157.7
36PA0042,KIT CHAIN SPROCKET DISCO M FX,29,111444.1,3842.9
JZ113001,STAY LH MAIN STEP,10,12118,1211.8
JZ113400,BKT COMP LH ENG FRONT,1,539.5,539.5
JZ113403,BKT COMP RH ENG FRONT,1,622.5,622.5
JZ151019,HAND GRIP RH,10,3735,373.5
JZ161200,CLUTCH CABLE,30,28137,937.9
JZ161201,CABLE ACCELERATOR,16,8233.6,514.6
JZ181200,FLAP - COWLING,12,13047.6,1087.3
JZ181402,REAR FENDER FRONT,2,1975.4,987.7
JZ231201,LEG GUARD,3,5652.3,1884.1
JZ231202,SAREE GUARD,4,7934.8,1983.7
JZ232600,LOCK SET 3 IN 1,9,28386,3154
JZ401000,INDICATOR ASSEBLY FRONT LH,6,9462,1577
JZ401001,INDICATOR FRONT RH,11,14608,1328
JZ401015,HEADLAMP  WIRING HARNESS DISCO-M,4,4814,1203.5
24181032,LOCK STEERING WITH KEY,9,5154.3,572.7
PA402405,MOUNTING BRACKET-SPEEDOMETER,1,514.6,514.6
52JD0067,WINDSHIELD WITH MASK,3,12948,4316
JD74034R,PNTD TANK SPOILER CENTRAL PASSION RED,1,4589.9,4589.9
JD76014M,PNTD SEAT COWL ASSY MID BLK,1,7121.4,7121.4
JD76014R,PNTD SEAT COWL ASSY PASS RED,1,2656,2656
JE351200,DC CDI UNIT,7,47235.3,6747.9
JE531001,BALL BEARING-22X56X16  SKF,12,17230.8,1435.9
JC191009,BOLT BRAKE PEDAL,11,2556.4,232.4
JD113019,PIN FOOT STEP,5,311.25,62.25
JD113200,SIDE STAND,7,4822.3,688.9
JB531005,CAM CHAIN (90 LINKS),10,14525,1452.5
JK113012,STAY MAIN STEP FIX,2,4598.2,2299.1
JK131023,AXLE FRONT,2,597.6,298.8
JK401007,RR LH BLINKER AMBER LENS 2P CPLR,4,4249.6,1062.4
JK401008,RR RH BLINKER AMBER LENS 2P CPLR,11,10316.9,937.9
JK401009,FR LH BLINKER AMBER LENS 2P CPLR,5,4440.5,888.1
JK581400,SLEEVE CARBURETORR VM 16,7,1859.2,265.6
52240485,DOOR ENCLOSURE ASSLY RH FOR SRILANKA,1,2191.2,2191.2
JC161017,STAND COMP SIDE,7,4996.6,713.8
24231522,LOCK - I,40,332,8.3
24231523,LOCK - II,60,492,8
JD113800,BRACKET REAR NUMBER PLATE,2,315.4,157.7
24161371,COVER  MIDDLE  PORTION (PLASTIC),22,4565,207.5
24161373,COVER FOR SWITCHES,21,5403.3,257.3
24171137,SHOCKABSORBER ASSY COMP FR,20,47310,2365.5
24181043,STEERING COLUMN ASSEMBLY,28,384622,13736.5
AA101565,GUIDE -CHAIN,86,41400.4,481.4
AL191043,SPEEDOMETER ASSEMBLY(NEW DASH'BD,7,22949.5,3278.5
BG113802,HOUSING LEFT HEADLAMP- BLINKER,35,30212,863.2
BG113803,HOUSING RIGHT HEADLAMP-BLINKER,15,14691,979.4
JC201043,VEHICLE SPEED SENSOR (POTTED),6,8764.8,1460.8
JB181416,BRACE FENDER (EXPORT),9,7395.3,821.7
JB511015,BOLT HEAD MTG,2,398.4,199.2
JB511018,SLEEVE SPARK PLUG,35,19961.7,570
JB511019,GASKET CYLINDER HEAD DISCO-94,95,59559.5,627
JZ161210,CABLE SPEEDOMETER,20,12616,630.8
DS121137,KIT OIL PUMP (HELICAL GEAR),4,3648,912
AA101624,PIPE OIL COOL,0,0,3261.9
AN101066,PISTON RING SET COMPLETE -GC CNG,0,0,1577
DK101277,BRACKET UPPER (OIL COOLER PIPE),38,3154,83
DK101278,BRACKET LOWER (OIL COOLER PIPE),11,182.6,16.6
JK402000,DC REGULATOR WITH CAPACITOR,6,20667,3444.5
36DU4026,KIT CONNECTING ROD CT100,12,36628.2,3052
DH171023,SHOCK ABSORBER REAR-BLACK,11,59436.3,5403.3
JD181404,HUGGER,9,5527.8,614.2
JE541207,COVER  LH RR,2,1560.4,780.2
JE581400,MANIFOLD BS26,3,672.3,224.1
JE581401,SLEEVE CARBURETOR BS26,24,6972,290.5
JF401401,CONTROL SWITCH RH,3,12076.5,4025.5
